crop_type,region,temperature,rainfall,humidity,soil_ph,nitrogen,phosphorus,potassium,pesticide_usage,irrigation_hours,yield_per_hectare
rice,Odisha,28.5,1200,75,6.5,120,40,30,2.5,8,4500
wheat,Punjab,22.0,650,65,7.0,150,50,40,1.8,6,3200
rice,Odisha,30.2,1100,78,6.2,110,38,28,2.8,9,4200
wheat,Punjab,24.5,700,60,7.2,160,55,45,1.5,5,3500
cotton,Gujarat,32.0,800,55,7.5,100,35,35,3.0,7,2800
rice,Odisha,29.0,1250,76,6.8,125,42,32,2.2,8,4700
sugarcane,Maharashtra,30.5,1500,70,6.9,200,60,50,2.0,10,80000
wheat,Punjab,21.0,600,68,6.8,140,48,38,2.0,6,3000
cotton,Gujarat,33.5,750,52,7.8,95,32,33,3.2,8,2600
rice,Odisha,27.8,1150,74,6.4,115,39,29,2.6,9,4300
maize,Karnataka,28.0,900,65,6.5,130,45,40,1.5,5,5500
wheat,Punjab,23.5,680,62,7.1,155,52,42,1.6,5,3400
rice,Odisha,29.5,1180,77,6.6,122,41,31,2.4,8,4550
cotton,Gujarat,31.5,820,56,7.4,105,36,36,2.8,7,2900
sugarcane,Maharashtra,31.0,1450,72,7.0,190,58,48,1.8,11,78000
maize,Karnataka,27.5,920,63,6.3,135,47,42,1.3,4,5700
rice,Odisha,28.2,1220,75,6.7,118,40,30,2.3,8,4600
wheat,Punjab,22.8,670,64,7.0,145,49,39,1.7,6,3300
cotton,Gujarat,32.5,780,54,7.6,98,34,34,3.1,8,2700
maize,Karnataka,28.5,880,66,6.6,128,44,39,1.6,5,5400
rice,Odisha,29.8,1130,79,6.3,112,37,27,2.7,9,4100
wheat,Punjab,23.0,690,61,7.3,158,54,44,1.4,5,3600
sugarcane,Maharashtra,30.0,1480,71,6.8,195,59,49,1.9,10,79000
cotton,Gujarat,33.0,760,53,7.7,102,33,32,2.9,7,2650
maize,Karnataka,27.0,950,64,6.4,132,46,41,1.4,4,5600
rice,Odisha,28.8,1190,76,6.5,120,40,30,2.5,8,4450
wheat,Punjab,21.5,620,66,6.9,142,47,37,1.9,6,3100
cotton,Gujarat,31.0,810,57,7.3,108,37,37,2.7,7,2950
maize,Karnataka,28.3,910,65,6.5,133,45,40,1.5,5,5550
sugarcane,Maharashtra,30.8,1520,69,7.1,205,62,52,1.7,11,81000
